GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
41.001938375; -83.6665354077,39063,Hancock,Hancock County,OH
38.4207190191; -77.4574003866,51179,Stafford,Stafford County,VA
40.1764332141; -98.4999473753,31181,Webster,Webster County,NE
28.4225359982; -99.756726125,48127,Dimmit,Dimmit County,TX
41.7723266607; -91.1324230468,19031,Cedar,Cedar County,IA
44.7600579518; -96.6679741404,46039,Deuel,Deuel County,SD
43.3567673364; -92.3171989039,19089,Howard,Howard County,IA
26.6475645688; -80.4365110484,12099,Palm Beach,Palm Beach County,FL
44.4964021427; -75.0689522747,36089,St. Lawrence,St. Lawrence County,NY
44.8582538926; -97.7294962958,46025,Clark,Clark County,SD
40.1762352358; -101.687961438,31057,Dundy,Dundy County,NE
37.5728931402; -105.788288197,8003,Alamosa,Alamosa County,CO
28.8475696914; -82.5201067311,12017,Citrus,Citrus County,FL
33.6199254931; -79.7277120284,45089,Williamsburg,Williamsburg County,SC
42.6684869829; -88.5419040709,55127,Walworth,Walworth County,WI
39.6255458453; -84.9251420286,18161,Union,Union County,IN
45.1523823451; -95.0047424624,27067,Kandiyohi,Kandiyohi County,MN
44.9694591011; -67.6090594873,23029,Washington,Washington County,ME
18.2110304405; -65.7360948748,72103,Naguabo,Naguabo Municipio,PR
35.0175290075; -79.237290715,37093,Hoke,Hoke County,NC
44.0221236545; -93.5872832229,27161,Waseca,Waseca County,MN
45.8441976984; -115.46748731,16049,Idaho,Idaho County,ID
40.1763469163; -101.042272426,31087,Hitchcock,Hitchcock County,NE
45.5167568769; -104.536158529,30011,Carter,Carter County,MT
48.0693970137; -99.3660130155,38005,Benson,Benson County,ND
41.334373461; -93.5613593647,19181,Warren,Warren County,IA
40.9912143554; -80.3347070702,42073,Lawrence,Lawrence County,PA
37.7065960005; -77.0885455088,51101,King William,King William County,VA
43.1851621531; -124.093318775,41011,Coos,Coos County,OR
32.7407276994; -102.635174091,48165,Gaines,Gaines County,TX
30.2584988738; -91.3493631932,22047,Iberville,Iberville Parish,LA
29.8116835857; -84.8004565948,12037,Franklin,Franklin County,FL
48.8148829805; -103.48733562,38023,Divide,Divide County,ND
37.4712716191; -89.255127403,17181,Union,Union County,IL
32.3570482149; -80.6921989253,45013,Beaufort,Beaufort County,SC
43.2394623005; -90.9310479025,55023,Crawford,Crawford County,WI
33.6102061227; -101.820545838,48303,Lubbock,Lubbock County,TX
29.5812415277; -83.1870324531,12029,Dixie,Dixie County,FL
32.9695357353; -82.7958991685,13303,Washington,Washington County,GA
47.6206643185; -117.403947339,53063,Spokane,Spokane County,WA
37.4055150245; -81.1114444602,54055,Mercer,Mercer County,WV
30.6143960313; -87.3413643298,12033,Escambia,Escambia County,FL
36.388599579; -97.2305066413,40103,Noble,Noble County,OK
35.8392646425; -76.5693098876,37187,Washington,Washington County,NC
40.4562312432; -90.6778776624,17109,McDonough,McDonough County,IL
40.2875173476; -74.1582023922,34025,Monmouth,Monmouth County,NJ
36.4082132934; -94.8026575137,40041,Delaware,Delaware County,OK
37.8552256175; -94.8492968396,20011,Bourbon,Bourbon County,KS
35.3428473738; -118.729900424,6029,Kern,Kern County,CA
38.6998727176; -80.7192881391,54007,Braxton,Braxton County,WV
36.0794717315; -79.7889042685,37081,Guilford,Guilford County,NC
33.2808768859; -88.0886925942,1107,Pickens,Pickens County,AL
40.4850679408; -106.991193187,8107,Routt,Routt County,CO
36.5831912624; -79.4088067684,51590,Danville,Danville city,VA
38.7140255919; -81.3483495174,54087,Roane,Roane County,WV
42.3362603021; -89.1608658488,17201,Winnebago,Winnebago County,IL
-14.3355554126; -170.784527256,60050,Western,Western District,AS
27.0315726438; -98.2187211196,48047,Brooks,Brooks County,TX
41.0331711391; -89.3447914374,17123,Marshall,Marshall County,IL
44.3370929481; -83.0853006647,26069,Iosco,Iosco County,MI
42.4930987798; -96.8677208272,31051,Dixon,Dixon County,NE
31.7492803518; -82.288983582,13001,Appling,Appling County,GA
31.8369546469; -95.1651831384,48073,Cherokee,Cherokee County,TX
45.0223609495; -95.5667047202,27023,Chippewa,Chippewa County,MN
30.4160496685; -89.081642685,28047,Harrison,Harrison County,MS
45.8738054472; -120.789207302,53039,Klickitat,Klickitat County,WA
45.4883821256; -110.526662711,30067,Park,Park County,MT
33.2970283837; -85.128270367,13149,Heard,Heard County,GA
28.3513711091; -98.124785649,48297,Live Oak,Live Oak County,TX
40.0028993432; -102.424226323,8125,Yuma,Yuma County,CO
42.6684852128; -112.224618777,16005,Bannock,Bannock County,ID
29.17400609; -98.0865732835,48493,Wilson,Wilson County,TX
40.7497715932; -86.8654694016,18181,White,White County,IN
35.4688611107; -86.7650174387,47117,Marshall,Marshall County,TN
44.45533124; -90.0415484809,55141,Wood,Wood County,WI
33.9414815247; -84.5766842461,13067,Cobb,Cobb County,GA
39.6890538531; -105.64436349,8019,Clear Creek,Clear Creek County,CO
31.9906857305; -97.1324266998,48217,Hill,Hill County,TX
41.2197790932; -102.994978749,31033,Cheyenne,Cheyenne County,NE
38.0432184802; -97.4272714417,20079,Harvey,Harvey County,KS
18.443076541; -66.8626349655,72027,Camuy,Camuy Municipio,PR
